Designator,Val,Package,Mid X,MidY,Rotation,Layer
C1,10NF-0603-50V-10%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.99839,-85.977162,180,top
C2,10NF-0603-50V-10%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.702997,-88.81574,-135,top
C3,10NF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.00319,-87.000768,0,top
C4,0.1UF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.7249,-81.891401,180,top
C5,10NF-0603-50V-10%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.1824,-61.6436,180,top
C6,10NF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.1844,-62.664,0,top
C7,10NF-0603-50V-10%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.889332,-64.54692,-135,top
C8,0.1UF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.898016,-57.615537,180,top
C9,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.814,-60.19,180,top
C10,220uF,C_Elec_8x10.2,138.335605,-61.085748,180,top
C11,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.814,-61.998,180,top
C12,10uF,C_0603_1608Metric,145.546,-60.456001,-90,top
C13,10uF,C_0603_1608Metric,146.614073,-63.148198,0,top
C14,.1uF,C_0603_1608Metric,147.186,-60.456,-90,top
C15,.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.772,-69.528,180,top
C16,.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,140.97,-66.046001,0,top
C17,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,148.837681,-67.110309,135,top
C18,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.402,-79.712,0,top
C19,DNP,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.181754,-81.621328,135,top
C20,DNP,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.112541,-84.436541,135,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,148.430395,-85.053911,45,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.472836,-83.056618,45,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.688873,-81.098995,45,top
